60 second bins:
0,5928,160
1,13295,183
2,14339,207
3,16220,231
4,18543,269
5,20200,289
6,11475,293
Written 7

6 second bins:
0,93,15
1,150,15
2,159,15
3,151,15
4,151,15
5,381,112
6,1266,155
7,1102,150
8,1216,160
9,1259,160
10,1285,160
11,1230,166
12,1447,170
13,1286,172
14,1367,164
15,1317,160
16,1321,166
17,1346,164
18,1362,161
19,1334,173
20,1398,181
21,1459,182
22,1396,190
23,1489,194
24,1459,191
25,1454,193
26,1337,192
27,1442,194
28,1458,191
29,1447,193
30,1411,195
31,1506,203
32,1561,199
33,1551,198
34,1627,206
35,1759,215
36,1548,214
37,1896,220
38,1657,217
39,1704,217
40,1717,225
41,1834,226
42,1688,227
43,1785,242
44,1726,247
45,1930,245
46,1892,247
47,2002,248
48,1983,254
49,1986,255
50,1967,260
51,2009,258
52,1798,259
53,2007,263
54,1975,264
55,1972,271
56,2049,284
57,2223,284
58,2094,285
59,2106,284
60,2317,287
61,2093,286
62,2438,290
63,2117,290
64,2006,291
65,494,144
66,10,8
Written 67

