60 second bins:
0,4813,314
1,9839,380
2,13689,533
3,18568,763
4,25640,949
5,27451,1191
Written 6

6 second bins:
0,86,26
1,122,30
2,110,30
3,106,30
4,233,97
5,831,284
6,831,282
7,825,285
8,845,285
9,824,314
10,952,329
11,954,332
12,920,330
13,992,327
14,971,315
15,956,313
16,969,310
17,987,313
18,1050,361
19,1088,368
20,1094,371
21,1125,373
22,1104,377
23,1163,382
24,1371,476
25,1463,490
26,1520,506
27,1507,515
28,1780,524
29,1562,532
30,1593,544
31,1639,552
32,1846,563
33,1596,567
34,2022,613
35,1912,626
36,1943,635
37,1735,640
38,2067,710
39,2215,762
40,2316,772
41,2278,826
42,2461,859
43,2476,869
44,2557,884
45,2589,899
46,2826,912
47,2565,922
48,2620,930
49,2952,945
50,2993,956
51,2932,969
52,2718,980
53,2992,995
54,3570,1139
55,3480,1155
56,3132,1152
57,3481,1166
58,2152,1169
59,1,1
Written 60

