60 second bins:
0,4515,65
1,12828,125
2,21451,184
3,30007,245
4,31199,294
Written 5

6 second bins:
0,112,15
1,177,17
2,288,25
3,331,35
4,425,35
5,457,44
6,534,49
7,655,55
8,728,61
9,808,65
10,914,74
11,994,77
12,1034,84
13,1143,90
14,1219,95
15,1332,104
16,1387,105
17,1538,115
18,1592,121
19,1675,124
20,1733,134
21,1823,134
22,1962,145
23,1997,150
24,2085,155
25,2242,164
26,2295,165
27,2401,175
28,2396,182
29,2517,184
30,2621,193
31,2647,196
32,2788,204
33,2876,211
34,2967,215
35,3071,223
36,3135,224
37,3275,235
38,3266,235
39,3361,245
40,3504,253
41,3594,255
42,3695,265
43,3761,271
44,3822,273
45,3959,283
46,3953,284
47,4118,294
48,793,292
Written 49

